,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1400,30,280,520,248,552,,,,,,,,1760,800,6440,1000,,,,,,,1100,200,,3440,10300,,1740,580,9400,13300,820,,1200,6240,920,3554,640,2650,14980,2150
1500,,300,550,300,600,,,,,,,,2000,800,6300,1000,,,,,,,1250,200,,4000,12000,,2000,650,10500,15000,950,,1400,6800,1000,3942,800,3000,16950,2250
1600,,400,760,400,650,,,,,,,,2000,1250,7900,1500,,,,,,,1250,200,,5000,16000,,2500,1000,13100,18500,1500,,1600,8240,1100,6170,1000,4500,20700,2750
1700,50,500,1260,400,700,,,,,,,,2500,1250,8400,1500,,,,,,,1500,300,,6000,15000,,2500,1200,13300,21471,1900,,2000,8770,2000,8565,1925,4500,26550,2750
1820,47,970,2573,1169,1155,,,,,,,,6389,2187,10074,2312,,,,,,,4146,437,,10426,24905,,3369,1986,20176,31250,2333,,3434,12203,3297,21239,7101,7657,54765,5215
1821,,984,2598,1186,1167,,,,,,,,,,,2333,,,,,,,,,,,25260,,3386,1998,20306,31460,2365,,3464,12284,3316,21551,7200,,,
1822,,998,2629,1202,1179,,,,,,,,,,,2355,,,,,,,,,,,25620,,3402,2008,20437,31685,2400,,3495,12366,3335,21832,7267,,,
1823,,1013,2668,1219,1196,,,,,,,,,,,2376,,,,,,,,,,,25969,,3419,2020,20568,31905,2435,,3526,12449,3354,22117,7335,,,
1824,,1028,2708,1235,1213,,,,,,,,,,,2398,,,,,,,,,,,26307,,3436,2031,20701,32127,2474,,3557,12532,3373,22407,7403,,,
1825,,1044,2749,1252,1228,,,,,,,,,,,2420,,,,,,,,,,,26650,,3452,2042,20834,32350,2514,,3589,12615,3393,22698,7472,,,
1826,,1062,2788,1268,1243,,,,,,,,,,,2443,,,,,,,,,,,26964,,3469,2054,20968,32538,2543,,3620,12699,3412,22996,7542,,,
1827,,1079,2816,1310,1255,,,,,,,,,,,2465,,,,,,,,,,,27249,,3486,2065,21103,32727,2561,,3652,12784,3432,23275,7612,,,
1828,,1093,2837,1326,1265,,,,,,,,,,,2488,,,,,,,,,,,27540,,3504,2077,21239,32917,2585,,3685,12869,3452,23560,7683,,,
1829,,1108,2855,1343,1270,,,,,,,,,,,2511,,,,,,,,,,,27807,,3521,2088,21376,33108,2610,,3717,12955,3472,23847,7755,,,
1830,,1124,2876,1364,1273,,,,,,,,,,,2534,,,,,,,,,,,28045,,3538,2100,21513,33300,2633,,3750,13041,3491,24139,7827,,,
1831,,1137,2895,1374,1275,,,,,,,,,,,2557,,,,,,,,,,,28283,,3555,2112,21652,33439,2653,,3782,13128,3512,24433,7900,,,
1832,,1150,2912,1378,1276,,,,,,,,,,,2581,,,,,,,,,,,28535,,3573,2123,21791,33598,2665,,3814,13216,3532,24684,7949,,,
1833,,1163,2941,1383,1284,,,,,,,,,,,2605,,,,,,,,,,,28801,,3590,2135,21932,33718,2683,,3846,13304,3552,24937,7998,,,
1834,,1174,2971,1387,1295,,,,,,,,,,,2629,,,,,,,,,,,29071,,3608,2147,22073,33859,2707,,3879,13392,3475,25194,8047,,,
1835,,1188,3004,1391,1306,,,,,,,,,,,2653,,,,,,,,,,,29390,,3626,2159,22215,34000,2732,,3912,13482,3595,25452,8096,,,
1836,,1202,3042,1399,1315,,,,,,,,,,,2677,,,,,,,,,,,29702,,3614,2171,22358,34178,2762,,3945,13571,3617,25715,8146,,,
1837,,1214,3068,1409,1325,,,,,,,,,,,2702,,,,,,,,,,,30013,,3662,2183,22502,34357,2791,,3978,13662,3639,25968,8196,,,
1838,,1224,3083,1420,1335,,,,,,,,,,,2727,,,,,,,,,,,30365,,3680,2195,22647,34537,2821,,4012,13753,3661,26223,8247,,,
1839,,1233,3098,1430,1347,,,,,,,,,,,2752,,,,,,,,,,,30746,,3698,2208,22793,34718,2853,,4046,13845,3683,26483,8298,,,
1840,,1241,3123,1441,1357,,,,,,,,,,,2777,,,,,,,,,,,31126,,3716,2220,22939,34900,2886,,4080,13937,3704,26745,8349,,,
1841,,1254,3156,1456,1371,,,,,,,,,,,2803,,,,,,,,,,,31475,,3739,2235,23087,35059,2921,,4115,14030,3715,27004,8400,,,
1842,,1271,3190,1476,1385,,,,,,,,,,,2829,,,,,,,,,,,31787,,3762,2251,23236,35218,2952,,4151,14123,3726,27277,8422,,,
1843,,1286,3221,1495,1392,,,,,,,,,,,2855,,,,,,,,,,,32086,,3785,2266,23385,35378,2981,,4187,14217,3738,27511,8441,,,
1844,,1302,3256,1516,1414,,,,,,,,,,,2881,,,,,,,,,,,32394,,3808,2282,23536,35539,3014,,4223,14312,3749,27785,8479,,,
1845,,1319,3296,1536,1430,,,,,,,,,,,2908,,,,,,,,,,,32743,,3831,2298,23687,35700,3047,,4259,14407,3760,28040,8497,,,
1846,,1337,3330,1555,1444,,,,,,,,,,,2934,,,,,,,,,,,33059,,3855,2314,23840,35829,3069,,4296,14503,3771,28272,8490,,,
1847,,1351,3352,1573,1456,,,,,,,,,,,2961,,,,,,,,,,,33231,,3878,2330,23993,35959,3071,,4333,14600,3783,28118,8205,,,
1848,,1363,3380,1591,1470,,,,,,,,,,,2989,,,,,,,,,,,33289,,3902,2346,24148,36089,3069,,4371,14697,3794,27683,7640,,,
1849,,1377,3419,1610,1484,,,,,,,,,,,3016,,,,,,,,,,,33452,,3926,2363,24303,36219,3076,,4408,14795,3804,27429,7256,,,
1850,,1392,3462,1628,1499,,,,,,,,8000,2500,,3044,,,,,,,5161,500,,13000,33746,,3950,2379,24460,36350,3098,,4449,14894,3816,27181,6878,9250,73750,6000
1851,,1409,3500,1642,1517,,,,,,,,,,,3072,,,,,,,,,,,34055,,3978,2399,24617,36479,3133,,4477,14974,3827,26945,6514,,,
1852,,1425,3529,1652,1536,,,,,,,,,,,3100,,,,,,,,,,,34290,,4006,2406,24776,36609,3167,,4506,15055,3839,27076,6337,,,
1853,,1440,3552,1663,1552,,,,,,,,,,,3129,,,,,,,,,,,34422,,4035,2412,24935,36739,3194,,4534,15136,3850,27248,6199,,,
1854,,1457,3586,1673,1569,,,,,,,,,,,3158,,,,,,,,,,,34531,,4063,2427,25096,36869,3218,,4563,15217,3858,27446,6083,,,
1855,,1479,3625,1683,1590,,,,,,,,,,,3187,,,,,,,,,,,34586,,4092,2442,25257,37000,3235,,4592,15299,3867,27697,6015,,,
1856,,1501,3657,1692,1612,,,,,,,,,,,3216,,,,,,,,,,,34715,,4120,2457,25420,37060,3253,,4621,15381,3875,27978,5973,,,
1857,,1521,3680,1703,1634,,,,,,,,,,,3246,,,,,,,,,,,34979,,4150,2471,25584,37120,3277,,4651,15455,3889,28186,5919,,,
1858,,1543,3711,1715,1653,,,,,,,,,,,3273,,,,,,,,,,,35278,,4178,2484,25748,37180,3294,,4680,15526,3925,28422,5891,,,
1859,,1570,3761,1726,1674,,,,,,,,,,,3306,,,,,,,,,,,35633,,4206,2497,25914,37240,3304,,4710,15584,3963,28660,5862,,,
1860,,1596,3824,1738,1696,,,,,,,,,,,3336,,,,,,,,,,,36049,,4235,2510,26081,37300,3318,,4740,15642,4000,28888,5821,,,
1861,,1614,3888,1754,1717,,,,,,,,,,,3367,,,,,,,,,,,36435,,4263,2524,26249,37390,3340,,4774,15699,4074,29128,5788,,,
1862,,1627,3942,1774,1739,,,,,,,,,,,3398,,,,,,,,,,,36788,,4292,2538,26418,37520,3366,,4809,15754,4113,29401,5776,,,
1863,,1646,3994,1794,1761,,,,,,,,,,,3430,,,,,,,,,,,37184,,4321,2552,26610,37710,3397,,4844,15809,4131,29630,5718,,,
1864,,1668,4046,1813,1777,,,,,,,,,,,3461,,,,,,,,,,,37602,,4350,2566,26814,37860,3431,,4879,15864,4176,29842,5641,,,
